[2026-04-29 01:34:45.402] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:15 (Domain) | Value: 4ac2584e.databases.neo4j.io | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 01:45:38.347] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:457 (URL) | Value: http://crl3.digicert.com/DigiCertTrustedG4CodeSigningRSA4096SHA2562021CA1.crl | Risk: low (Score: 15) | Decision: ALLOW
[2026-04-29 01:46:47.417] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:461 (Domain) | Value: scontent.fhan3-5.fna.fbcdn.net | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 01:47:19.032] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:462 (Domain) | Value: crl.pki.goog | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 01:47:27.322] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:463 (URL) | Value: http://crl.pki.goog/gsr1/gsr1.crl | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 01:51:24.115] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:464 (Domain) | Value: peoplestackwebexperiments-pa.clients6.google.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 01:53:34.375] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:66 (Domain) | Value: www.google-analytics.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 01:53:45.902] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:465 (Domain) | Value: update.kingsoftstore.com | Risk: low (Score: 15) | Decision: ALLOW
[2026-04-29 01:53:57.733] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:466 (Domain) | Value: update.wps.cn | Risk: medium (Score: 45) | Decision: MONITOR
[2026-04-29 01:54:44.886] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:467 (Domain) | Value: m.google.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 01:55:08.004] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:468 (URL) | Value: http://crl3.digicert.com/DigiCertTrustedRootG4.crl | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 01:55:11.391] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:469 (URL) | Value: http://crl3.digicert.com/DigiCertAssuredIDRootCA.crl | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 01:59:12.269] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:470 (Domain) | Value: inference.location.live.net | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 01:59:56.355] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:16 (Domain) | Value: trk-pcweb.api.zaloapp.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:00:06.895] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:466 (Domain) | Value: update.wps.cn | Risk: medium (Score: 45) | Decision: MONITOR
[2026-04-29 02:00:36.180] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:468 (URL) | Value: http://crl3.digicert.com/DigiCertTrustedRootG4.crl | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:03:59.247] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:55 (Domain) | Value: update.code.visualstudio.com | Risk: low (Score: 15) | Decision: ALLOW
[2026-04-29 02:04:16.585] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:471 (Domain) | Value: wpa.zalo.me | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:04:49.431] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:472 (Domain) | Value: chromewebstore.googleapis.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:05:01.254] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:473 (Domain) | Value: safebrowsing.google.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:05:17.326] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:457 (URL) | Value: http://crl3.digicert.com/DigiCertTrustedG4CodeSigningRSA4096SHA2562021CA1.crl | Risk: low (Score: 15) | Decision: ALLOW
[2026-04-29 02:05:48.376] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:474 (Domain) | Value: cloud.wpscdn.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:05:57.252] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:475 (Domain) | Value: wdl1.pcfg.cache.wpscdn.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:06:12.252] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:476 (Domain) | Value: abtest-api.wps.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:06:18.312] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:477 (Domain) | Value: params.wps.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:06:34.246] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:478 (Domain) | Value: sg-plus.wps.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:06:57.256] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:479 (Domain) | Value: ai-sg.wps.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:07:05.249] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:480 (Domain) | Value: permits.wps.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:07:14.427] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:481 (Domain) | Value: sg-account.wps.com | Risk: low (Score: 15) | Decision: ALLOW
[2026-04-29 02:07:18.246] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:482 (Domain) | Value: ovs-shopwindow-server.wps.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:07:41.777] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:483 (Domain) | Value: aka.ms | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:07:52.778] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:484 (Domain) | Value: download.microsoft.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:08:20.237] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:485 (Domain) | Value: sg-drive.wps.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:08:28.957] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:486 (Domain) | Value: avatar.qwps.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:09:38.095] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:487 (Domain) | Value: ovs-activity.wps.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:10:21.262] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:488 (Domain) | Value: ds.cache.wpscdn.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:10:54.283] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:489 (Domain) | Value: www.googletagmanager.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:11:10.249] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:490 (Domain) | Value: firebase.googleapis.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:11:18.256] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:491 (Domain) | Value: firebaseinstallations.googleapis.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:11:53.251] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:492 (Domain) | Value: analytics.google.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:12:17.162] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:493 (Domain) | Value: stats.g.doubleclick.net | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 02:12:23.943] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:494 (Domain) | Value: www.google.com.vn | Risk: low (Score: 0) | Decision: ALLOW
